"method","path","name"
"POST","/api/v3/data/aspects","Extended Aspect Analysis"
"POST","/api/v3/data/aspects/enhanced","Standard Test Subject"
"POST","/api/v3/data/global-positions","Extended Celestial Points"
"POST","/api/v3/horoscope/chinese/bazi","BaZi Four Pillars Analysis"
"POST","/api/v3/horoscope/personal/daily","High Precision Analysis - New York"
"POST","/api/v3/horoscope/personal/daily/text","Berlin - German Short Preview"
"POST","/api/v3/horoscope/personal/monthly","Using Coordinates - Classical Tradition"
"POST","/api/v3/horoscope/personal/monthly/text","Specific Month - German Long Format"
"POST","/api/v3/horoscope/personal/weekly","Current Week - Universal Tradition"
"POST","/api/v3/horoscope/personal/weekly/text","Specific Week - Russian Bullets"
"POST","/api/v3/horoscope/personal/yearly","Next Year (2026) - Classical Tradition"
"POST","/api/v3/horoscope/personal/yearly/text","Current Year - English Paragraph"
"POST","/api/v3/horoscope/sign/daily","Leo Daily Horoscope - Specific Date"
"POST","/api/v3/horoscope/sign/daily/text","Scorpio - Detailed with Emoji"
"POST","/api/v3/horoscope/sign/monthly","Virgo Monthly Horoscope - March 2024"
"POST","/api/v3/horoscope/sign/monthly/text","Leo - Short Preview"
"POST","/api/v3/horoscope/sign/weekly","Gemini Weekly Horoscope - Current Week"
"POST","/api/v3/horoscope/sign/weekly/text","Taurus - Russian Language"
"POST","/api/v3/horoscope/sign/yearly","Capricorn Yearly Horoscope - 2024"
"POST","/api/v3/horoscope/sign/yearly/text","Scorpio - 2025 Long Format"
"POST","/api/v3/insights/wellness/biorhythms","Calculate biorhythms for today"
