"method","path","name"
"POST","/api/v3/analysis/career","Vocational Timing Analysis"
"POST","/api/v3/analysis/compatibility","Friendship Compatibility - Tokyo & Sydney"
"POST","/api/v3/analysis/compatibility-score","Business Partnership - Coordinates"
"POST","/api/v3/analysis/composite-report","Psychological Composite Report - London & Paris"
"POST","/api/v3/analysis/direction-report","Solar Arc Direction Report"
"POST","/api/v3/analysis/health","Holistic Health Analysis"
"POST","/api/v3/analysis/karmic","Soul Evolution Analysis"
"POST","/api/v3/analysis/lunar-analysis","Using Coordinates - report_options"
"POST","/api/v3/analysis/lunar-return-report","Monthly Lunar Return Report"
"POST","/api/v3/analysis/lunar-return-transit-report","Monthly Lunar Transit Report"
"POST","/api/v3/analysis/natal-report","???????? English - Psychological"
"POST","/api/v3/analysis/natal-transit-report","Precise Timing - Weekly"
"POST","/api/v3/analysis/predictive","Quarterly Forecast"
"POST","/api/v3/analysis/progression-report","Secondary Progression Report"
"POST","/api/v3/analysis/psychological","Depth Psychology Analysis"
"POST","/api/v3/analysis/relationship","Standardized Format - Subjects Array"
"POST","/api/v3/analysis/relationship-score","Romantic Couple - Discepolo Index"
"POST","/api/v3/analysis/relocation","Kharkiv to New York Relocation"
"POST","/api/v3/analysis/solar-return-report","2024 Birthday Analysis"
"POST","/api/v3/analysis/solar-return-transit-report","Birthday Year Transit Report"
"POST","/api/v3/analysis/spiritual","Esoteric Spiritual Analysis"
"POST","/api/v3/analysis/synastry-report","Detailed Relationship Analysis"
"POST","/api/v3/analysis/transit-report","Yearly Transit Report"
"POST","/api/v3/analysis/vocational","Career Talents Analysis"
"POST","/api/v3/astrocartography/astrodynes","Natal vs relocated comparison"
"POST","/api/v3/astrocartography/astrodynes/compare","Compare 3 major cities"
"POST","/api/v3/astrocartography/compare-locations","Compare two cities for relocation"
"GET","/api/v3/astrocartography/line-meanings","Get Line Meanings"
"POST","/api/v3/astrocartography/lines","High Density Coordinates"
"POST","/api/v3/astrocartography/location-analysis","Analyze by Coordinates"
"POST","/api/v3/astrocartography/map","Basic World Map"
"POST","/api/v3/astrocartography/paran-map","Moon-Jupiter parans"
"POST","/api/v3/astrocartography/power-zones","Find benefic power zones worldwide"
"POST","/api/v3/astrocartography/relocation-chart","Relocate from London to New York"
"POST","/api/v3/astrocartography/render","PNG for Email/Reports"
"POST","/api/v3/astrocartography/search-locations","Find romantic cities"
"GET","/api/v3/astrocartography/supported-features","Get Supported Features"
"POST","/api/v3/charts/composite","Advanced Composite Chart"
"POST","/api/v3/charts/directions","High Precision Directions"
"POST","/api/v3/charts/lunar-return","Current Lunar Return"
"POST","/api/v3/charts/lunar-return-transits","Precise Lunar Timing"
"POST","/api/v3/charts/natal","Traditional - Whole Sign Houses"
"POST","/api/v3/charts/natal-transits","Major Yearly Transits"
"POST","/api/v3/charts/progressions","High Precision Progressions"
"POST","/api/v3/charts/solar-return","2024 Birthday Chart"
"POST","/api/v3/charts/solar-return-transits","Relocated Solar Return Transits"
"POST","/api/v3/charts/synastry","Karmic Connection Analysis"
"POST","/api/v3/charts/transit","Major Outer Planet Transits"
"POST","/api/v3/chinese/bazi","Advanced BaZi with Luck Pillars"
"GET","/api/v3/chinese/calendar/solar-terms/:year","Get Solar Terms"
"POST","/api/v3/chinese/compatibility","Complete BaZi Compatibility"
"GET","/api/v3/chinese/elements/balance/:year","Analyze Year Elements"
"POST","/api/v3/chinese/luck-pillars","Female Luck Pillars"
"POST","/api/v3/chinese/ming-gua","Ming Gua Feng Shui"
"POST","/api/v3/chinese/yearly-forecast","Personal Yearly Forecast"
"GET","/api/v3/chinese/zodiac/:animal","Get Zodiac Animal Info"
"POST","/api/v3/data/aspects","Extended Aspect Analysis"
"POST","/api/v3/data/aspects/enhanced","Standard Test Subject"
"POST","/api/v3/data/global-positions","Extended Celestial Points"
"POST","/api/v3/data/house-cusps","Equal House System"
"POST","/api/v3/data/lunar-metrics","New Moon Timing"
"POST","/api/v3/data/lunar-metrics/enhanced","Standard Test Subject"
"GET","/api/v3/data/now","Current Time Data"
"POST","/api/v3/data/positions","Traditional Astrology Points"
"POST","/api/v3/data/positions/enhanced","Day/Night Sect Analysis"
"POST","/api/v3/eclipses/interpretation","September 2025 Solar Eclipse"
"POST","/api/v3/eclipses/natal-check","Oleg Standard Test Data"
"GET","/api/v3/eclipses/upcoming","???? Upcoming Eclipses"
"POST","/api/v3/enhanced/global-analysis","Current Sky Analysis"
"POST","/api/v3/enhanced/personal-analysis","Fixed Stars Analysis"
"POST","/api/v3/enhanced_charts/global-analysis","Current Sky Analysis"
